phrase,pinyin,explanation,,,,,,,,,,,,,,,,,,,,,,,
盘根错节,pán gēn cuò jié,盘：盘曲；错：交错；节：枝节。树木的根枝盘旋交错。比喻事情纷难复杂。,,,,,,,,,,,,,,,,,,,,,,,
盘古开天地,pán gǔ kāi tiān dì,指人类开始有了历史。,,,,,,,,,,,,,,,,,,,,,,,
盘龙卧虎,pán lóng wò hǔ,盘：盘旋，弯曲。盘曲的龙，卧居的虎。比喻隐藏的人才。,,,,,,,,,,,,,,,,,,,,,,,
盘木朽株,pán mù xiǔ zhū,不成材的曲木朽木。比喻劣材。,,,,,,,,,,,,,,,,,,,,,,,
盘马弯弓,pán mǎ wān gōng,驰马盘旋，张弓要射。形容摆开架势，准备作战。后比喻故做惊人的姿态，实际上并不立即行动。,,,,,,,,,,,,,,,,,,,,,,,
盘龙之癖,pán lóng zhī pǐ,指爱好赌博的恶习。,,,,,,,,,,,,,,,,,,,,,,,
盘根问底,pán gēn wèn dǐ,盘：仔细查问；问：寻问。盘问、追究事情的根由。,,,,,,,,,,,,,,,,,,,,,,,
盘石之安,pán shí zhī ān,形容极其安定稳固。,,,,,,,,,,,,,,,,,,,,,,,
盘水加剑,pan shui jia jian,汉代大臣自杀处死的一种表示。加剑：自杀。,,,,,,,,,,,,,,,,,,,,,,,
盘石桑苞,pán shí sāng bāo,盘石：大石；桑苞：即苞桑，根深柢固的桑树。比喻安稳牢固。,,,,,,,,,,,,,,,,,,,,,,,
盘游无度,pán yóu wú dù,盘游：游乐；度：限度。耽于游乐，没有限度。,,,,,,,,,,,,,,,,,,,,,,,
盘根究底,pán gēn jiū dǐ,盘：仔细查问；究：追究。盘问、追究事情的根由。,,,,,,,,,,,,,,,,,,,,,,,
盘石之固,pán shí zhī gù,比喻坚固不可动摇。,,,,,,,,,,,,,,,,,,,,,,,
烽火连天,fēng huǒ lián tiān,形容战火遍及各地。,,,,,,,,,,,,,,,,,,,,,,,
烽火连年,fēng huò lián nián,烽火：古时边防报警的烟火。比喻战火或战争。指战火连年不断。,,,,,,,,,,,,,,,,,,,,,,,
烽火四起,fēng huǒ sì qǐ,战争的火焰从四面八方燃烧起来。形容边防不安宁，四处有敌人进犯。,,,,,,,,,,,,,,,,,,,,,,,
烽鼓不息,fēng gǔ bù xī,烽鼓：烽火与战鼓；息：停止。比喻战乱不止。,,,,,,,,,,,,,,,,,,,,,,,
烽火相连,fēng huǒ xiāng lián,烽火：古代边防报警的烟火。指边防常抓不懈，比喻战火不断。,,,,,,,,,,,,,,,,,,,,,,,
箫韶九成,xiāo sháo jiǔ chéng,箫韶：虞舜时的乐章；九成：九章。指箫韶音乐奏了九章。,,,,,,,,,,,,,,,,,,,,,,,
箫心剑态,xiāo xīn jiàn tài,犹言幽情侠骨。 龚自珍 《湘月》词自注引 洪子骏 《金缕曲》词：“俠骨幽情簫與劍，問簫心劍態誰能畫？” 柳亚子 《将归留别海上诸子》诗：“簫心劍態愁無那，馬角烏頭恨未賒。”,,,,,,,,,,,,,,,,,,,,,,,
屈指可数,qū zhǐ kě shǔ,形容数目很少，扳着手指头就能数过来。,,,,,,,,,,,,,,,,,,,,,,,
屈打成招,qū dǎ chéng zhāo,屈：冤枉；招：招供。指无罪的人冤枉受刑，被迫招认有罪。,,,,,,,,,,,,,,,,,,,,,,,
屈艳班香,qū yàn bān xiāng,屈：指屈原；班：指班固。象《楚辞》、汉赋那样词藻艳丽，情味浓郁。称赞诗文优美。,,,,,,,,,,,,,,,,,,,,,,,
屈尊就卑,qū zūn jiù bēi,原指降低尊贵的身份以就低下的礼仪。现用来形容委屈自己去屈就比自己低下的职位或人。,,,,,,,,,,,,,,,,,,,,,,,
屈蠖求伸,qū huò qiú shēn,蠖：尺蠖，虫名，体长约二三寸，屈伸而行。尺蠖用弯曲来求得伸展。比喻以退为进的策略。,,,,,,,,,,,,,,,,,,,,,,,
屈节辱命,qū jié rǔ mìng,失去了节操，辱没了使命。,,,,,,,,,,,,,,,,,,,,,,,
屈谷巨瓠,qū gǔ jù hù,比喻无用者。,,,,,,,,,,,,,,,,,,,,,,,
屈高就下,qū gāo jiù xià,地位高的人降低身分，迁就地位低的人。,,,,,,,,,,,,,,,,,,,,,,,
磐石之安,pán shí zhī ān,形容极稳固。,,,,,,,,,,,,,,,,,,,,,,,
磐石之固,pán shí zhī gù,磐石：巨石。比喻坚固不可动摇。,,,,,,,,,,,,,,,,,,,,,,,
斆学相长,xiào xué xiāng cháng,谓教与学相互促进。 明 王守仁 《教条示龙场诸生·责善》：“使吾而是也，因得以明其是；吾而非也因得以去其非，蓋斆學相長也。”参见“ 教學相長 ”。,,,,,,,,,,,,,,,,,,,,,,,
潘江陆海,pān jiāng lù hǎi,形容人诗文方面的才华横溢。,,,,,,,,,,,,,,,,,,,,,,,
潘文乐旨,pān wén lè zhǐ,指美好文章的文辞与意旨。,,,,,,,,,,,,,,,,,,,,,,,
诎寸信尺,qū cùn xìn chǐ,诎：通“屈”，屈服、折服。信：通“伸”。屈折一寸，伸长一尺。比喻舍弃小的毛病，伸张大的事理。亦作“诎寸伸尺”。,,,,,,,,,,,,,,,,,,,,,,,
诎要桡腘,qū yào ráo yù,指弯腰曲膝。,,,,,,,,,,,,,,,,,,,,,,,
阿谀奉承,ē yú fèng chéng,阿谀：用言语恭维别人；奉承：恭维，讨好。曲从拍马，迎合别人，竭力向人讨好。,,,,,,,,,,,,,,,,,,,,,,,
阿平絶倒,,,,,,,,,,,,,,,,,,,,,,,,,
阿鼻地狱,ā bí dì yù,阿鼻：梵语的译音，意译为“无间”，即痛苦无有间断之意。常用来比喻黑暗的社会和严酷的牢狱。又比喻无法摆脱的极其痛苦的境地。,,,,,,,,,,,,,,,,,,,,,,,
阿娇金屋,ā jiāo jīn wū,阿娇：指汉武帝刘彻的姑母（馆陶公主又称“长公主”刘嫖）的女儿。原指汉武帝刘彻要用金屋接纳阿娇为妇。这里泛指美丽高贵的女子。,,,,,,,,,,,,,,,,,,,,,,,
